Name,Link,Default Branch,SHA,Stargazers Count,Forks Count,Date
xinghongfei/LookLook,https://github.com/xinghongfei/LookLook,master,c436ef9949aa80ee085408900c54e800c839ce77,2214,706,29/03/2024 13:45:43
LaunchCodeEducation/java-web-dev-techjobs-mvc,https://github.com/LaunchCodeEducation/java-web-dev-techjobs-mvc,master,32fc8437fafa5be59cacf77f947741ed80c3c18b,1,707,29/03/2024 13:45:43
jnightlee/webdav-teambition,https://github.com/jnightlee/webdav-teambition,main,3a13a29d158c0f3629c5fbdecd53299239b17ccc,43,709,29/03/2024 13:45:43
ngbdf/redis-manager,https://github.com/ngbdf/redis-manager,master,9dccdce7f2c91887aa659a5aab5aaacf4b92fb9b,2909,709,29/03/2024 13:45:43
BaReinhard/Hacktoberfest-Data-Structure-and-Algorithms,https://github.com/BaReinhard/Hacktoberfest-Data-Structure-and-Algorithms,master,f10437d8129b14925c9517af350138affdba223a,226,709,29/03/2024 13:46:54
mercyblitz/tech-weekly,https://github.com/mercyblitz/tech-weekly,master,66de29ffd1081239e8c93a8c79b2ab9f4bb1e91b,3909,710,29/03/2024 13:45:43
yzcheng90/X-SpringBoot,https://github.com/yzcheng90/X-SpringBoot,master,1e8fce2423fd8145ccdb1648bf1f7b6f7d51a90d,2082,710,29/03/2024 13:45:43
bytedeco/javacpp-presets,https://github.com/bytedeco/javacpp-presets,master,7c29f9b055c859c915e4fbd47a3e4cca048380fe,2558,711,29/03/2024 13:45:43
Todd-Davies/ProgressWheel,https://github.com/Todd-Davies/ProgressWheel,master,e64cf8b716a459fa7d6f2d18a90516a7dadc31d1,2649,711,29/03/2024 13:45:43
ongakuer/CircleIndicator,https://github.com/ongakuer/CircleIndicator,master,7847a2262f109127e4e03ca77f56253c2b128ad4,4243,711,29/03/2024 13:45:43
hyperledger/fabric-sdk-java,https://github.com/hyperledger/fabric-sdk-java,main,6b77a363a132a76aba5ab605f1365a70cb1d84eb,1114,712,29/03/2024 13:45:43
openzipkin/brave,https://github.com/openzipkin/brave,master,69e30f320d88fabd5b24772f24e7416e5daa0f27,2320,713,29/03/2024 13:45:43
welk1n/JNDI-Injection-Exploit,https://github.com/welk1n/JNDI-Injection-Exploit,master,3fdc510ed7467b144170603dc70859234c2fed1f,2447,713,29/03/2024 13:45:43
pentaho/pentaho-platform,https://github.com/pentaho/pentaho-platform,master,9c4ee216f720cac22e03e29a84ae7180aec4aa12,466,718,29/03/2024 13:45:43
in28minutes/SpringBootForBeginners,https://github.com/in28minutes/SpringBootForBeginners,master,96aac7f51218090c1fa45747b9b48de5e0faabac,594,719,29/03/2024 13:45:43
sofastack/sofa-jarslink,https://github.com/sofastack/sofa-jarslink,master,673a825996d05c54ce8b91dca629e652d4ff37b6,3042,719,29/03/2024 13:45:43
jenkinsci/email-ext-plugin,https://github.com/jenkinsci/email-ext-plugin,master,475124db648be16c22ef86c40b7501997f35f3a8,339,720,29/03/2024 13:45:43
